1,BDANAM,PT. BANK DANAMON INDONESIA                                                      
2,SIEMENS,PT. SIEMENS INDONESIA                                                           
3,GBLTRIM,PT. GLOBAL TRIMITRA MANDIRI                                                     
4,HALLIBURTO,PT. HALLIBURTON INDONESIA                                                       
5,BSCB,BUT. STANDARD CHARTERED BANK                                                    
6,BPERMAT,"PT. BANK PERMATA, Tbk                                                           "
7,IKS,PT. IKS KNIFE AND SAW INDONESIA                                                 
8,VOLEX,PT. VOLEX CABLE ASSEMBLY                                                        
9,BBPI,PT. BANK BUMI PUTERA INDONESIA                                                  
10,HERCULES,PT. HERCULES CHEMICALS IND                                                      
11,NIPPON,PT. NIPPON INDOSARI CORPINDO TBK                                                
12,AMCOR,PT.  AMCOR MULTIWALL SACKS                                                      
13,APEX,"PT. APEXINDO PRATAMA DUTA,Tbk                                                   "
14,PNM,"PERMODALAN NASIONAL MADANI,PT                                                   "
15,CLGI,CENTRE FOR LOCAL GOVERMENT IN                                                   
16,DAVINCI,PT. DAVINCI KERAMINDO INTERNASIONAL                                             
17,MTI,PT. MULTI TERMINAL INDONESIA                                                    
18,ACNEL,PT.ACNIELSEN INDONESIA                                                          
19,BAKER,PT. BAKER ATLAS INDONESIA                                                       
20,PENI,PT. PETROKIMIA NUSANTARA INTERINDO                                              
21,DEHEN,PT. DEHENMARU SEJAHTERA                                                         
22,DOKAR,PT. DOKAR PUTRA MANIA                                                           
23,DDS,PT. DESERCO DEVELOPMENT SERVICES                                                
24,INDOPRIM,PT. INDO PRIMA UTAMA SAKTI                                                      
25,SUMPRIM,PT. SUMATERA PRIMA FIBREBOARD                                                   
26,KRYWITA,PT.KARYA WITA PRATAMA                                                           
27,AJWAN,PT. ASURANSI JIWA ADISARANA W.                                                  
28,ASAHI,PT.ASAHI GLASS MACHINERY IND.                                                   
29,BKESAW,PT. BANK KESAWAN                                                                
30,RMI,"RAHAJASA MEDIA INTERNET,PT                                                      "
31,GANESHA,PT. GANESHA                                                                     
32,BBCA,PT.BANK CENTRAL ASIA.Tbk                                                        
33,SRC,PT. SATIFA RIA CENDANA                                                          
34,GAWIH,PT. GAWIH JAYA                                                                  
35,PAMA,PT. PAMAPERSADA NUSANTARA                                                       
36,JAKPRO,JAKARTA PROPEERTINDO                                                            
37,DENTSU,PT. DENTSU INDONESIA INTER ADMARK                                               
38,KALBE,"PT. KALBE FARMA, TBK.                                                           "
39,POLYEKA,"PT POLYSINDO EKA PERKASA, TBK.                                                  "
40,TRASABD,PT. TRASPATINDO ABADI SEJAHTERA                                                 
41,LPGAMA,LEMBAGA PENDIDIKAN PRIMAGAMA                                                    
42,BERKAT,UD BERKAT                                                                       
43,PERTAMIDMI,PT. PERTAMINA (PERSERO)-DUMAI                                                   
44,NECTAR,PT. NECTAR BOGA DINAMIKA                                                        
45,KIYO,PT. KIYOKUNI TECHNOLOGIES                                                       
46,CANADY,PT CANDRA ADYALAKSANA                                                           
47,BALMAN,BALI MANDIRA                                                                    
48,PINDEL,PT. PINDO DELI PULP AND PAPER MILLS                                             
49,TELKOMSUB,"PT. TELEKOMUNIKASI INDONESIA, TBK                                               "
50,SAKADEL,PT. SAKA DELMAS VICARYA                                                         
51,SARCIT,PT. SARANA CITRA ADICARYA                                                       
52,RAPP,PT. RIAU ANDALAN PULP & PAPER                                                   
53,MOTOROL,PT. MOTOROLA INDONESIA                                                          
54,TRAKIND,PT TRAKINDO UTAMA                                                               
55,KPC,KALTIM PRIMA COAL                                                               
56,INPUREM,INPUREMA KONSULTAMA                                                             
57,CONSOL,CONSOLIDATE RESOURCHES GROUP                                                    
58,MLIRUB,PT. MULTI RUBINDO                                                               
59,BBNISYA,BNI DIVISI USAHA SYARIAH                                                        
60,MASPION,PT. SIAM MASPION POLYMERS                                                       
61,GELJAYA,PT. GELORA DJAJA                                                                
62,MITDANA,PT.MITRA PERDANA                                                                
63,GBLTRIC,PT GLOBAL TRICITRA MODERNITI                                                    
64,RISKA,CV.RISKA MULYA KARYA                                                            
65,MAHAKEN,PT MAHAKAM KENCANA MERAH PADI                                                   
66,DANFOS,BUT. DANFOSS INDUSTRIES PTE LTD                                                 
67,JABATO,JABATO INTERNASIONAL TOURS & TRAVEL                                             
68,BLIPPO,LIPPO CAB. THAMRIN                                                              
69,GBLTRAS,"PT GLOBAL TRANSPORTATION, Denpasar                                              "
70,MBI,PT. MULTI BINTANG INDONESIA TBK                                                 
71,ZONGHAI,PT. ZHONGHAI INDO SHIPPING                                                      
72,GRANMELIA,PT.Suryalaya Anindita Internasional                                             
73,ASPEKUTIM,CV. Asosisi Pengusaha Kutai Ti                                                  
74,GEMALA,"GEMALA INTERNASIONAL,PT                                                         "
75,DUBESMLY,KEDUTAAN BESAR MALAYSIA                                                         
76,MISORI,PT. MISORI UTAMA                                                                
77,OTHER,OTHERS                                                                          
78,SYNERGY,PT. SYNERGY RISK MANAGEMENT CONSULTANT                                          
79,BBRI,PT. BANK RAKYAT INDONESIA (PERSERO) TBK                                         
80,TELSEL,TELKOMSEL                                                                       
81,XENODIA,PT XENODIA MADIRI                                                               
82,MAHNUS,PT MAHAKAM NUSA ENERGI                                                          
83,PWS,PT. POWERWELL SERVICES INDONESIA                                                
84,CORIN,PT. CORINTHIAN INDUSTRIES INDONESIA                                             
85,INTIOM,INTERNATIONAL ORGANIZATION FOR MIGRATION                                        
86,ANCTER,PT. ANCOL TERANG METAL PRINTING INDUSTRI                                        
87,BATUTIGA,PT BATUTIGA BANGUN PERSADA                                                      
88,SAMSUNG,PT. SAMSUNG ELECTRONICS INDONESIA                                               
89,AHESS,AMERADA HESS                                                                    
90,ISPAT,PT ISPAT INDO                                                                   
91,GOLDBIRD,PT. GOLDEN BIRD BALI                                                            
92,GINIMEG,PT. GINI MEGAH                                                                  
93,FONDACO,PT. FONDACO MITRATAMA                                                           
94,NOKIA,PT. NOKIA NETWORKS                                                              
95,BAKFIN,PT. BHAKTI FINANCE                                                              
96,CANSRI,PT. CHANDRA ASRI                                                                
97,BMANDR,PT. BANK MANDIRI (PERSERO) TBK                                                  
98,MBSS,PT. MITRABAHTERA SEGARA SEJATI                                                  
99,SPECTRA,PT. SPECTRA PANCA MITRA                                                         
100,SEFAS,PT. SEFAS PELINDOTAMA                                                           
101,BBNI,PT. BANK NEGARA INDONESIA (PERSERO) TBK                                         
102,FASTRA,PT. FASTRATA BUANA                                                              
103,TELKOMBDG,"PT. TELEKOMUNIKASI INDONESIA, TBK                                               "
104,DYKA,PT. DYKA KONSULTAMA                                                             
105,ASAIA,PT. ASURANSI AIA INDONESIA                                                      
106,LPS,LEMBAGA PENJAMIN SIMPANAN                                                       
107,DAMAR,PT. DAMAR GLOBAL INDONESIA                                                      
108,GRASIA,PT. GRASIA BERKAT ABADI                                                         
109,KURITA,PT. KURITA INDONESIA                                                            
110,MANTERA,PT. MANDIRA ERAJASA WAHANA                                                      
111,KASAKATA,PT. KASAKATA KIMIA                                                              
112,GNGARUD,PT. GUNUNG GARUDA                                                               
113,CONEL,PT. CONNELL BERSAUDARA CHEMINDO                                                 
114,MAWACIT,PT. MAWA CITRA WISESA                                                           
115,KARJAY,UD. KARUNIA JAYA BAN                                                            
116,MEDGY,"PT. MEDCO ENERGY INTERNATIONAL, TBK                                             "
117,COALIN,PT. COALINDO PERDANA MINING                                                     
118,WILMA,PT. WILLIAMINDO MAJU SEJAHTERA                                                  
119,AJCAR,PT. A.J. CENTRAL ASIA RAYA                                                      
120,KORTEL,PT. KOREA TELECOM DATA MEDIA                                                    
121,INDOMIN,PT. INDOMINCO MANDIRI                                                           
122,TRANWEP,PT. TRANSWEPP INTERNASIONAL                                                     
123,INDIKA,PT. INDIKA INTI ENERGY                                                          
124,PERMINASLW,JOB PERTAMINA - PETROCHINA SALAWATI                                             
125,KARSJT,CV. KARUNIA SEJATI                                                              
126,WCI,PT. WESTERN COATING INDONESIA                                                   
127,ASAXA,PT. AXA SERVICES INDONESIA                                                      
128,WIRAMAS,PT. WIRAMAS ADYABUANA PRATAMA                                                   
129,BMK,PT. BINA MULIA KALIMANTAN                                                       
130,PERTAMISUB,PT. PERTAMINA (PERSERO)-SBY                                                     
131,MKN,PT. MULTI KONTROL NUSANTARA                                                     
132,ANTAM,PT. ANEKA TAMBANG                                                               
133,BUBS,UBS AG                                                                          
134,SILVERY,PT. SILVERY DRAGON INDONESIA                                                    
135,GRESIK,PT. GRESIK GASES INDONESIA                                                      
136,INDOTRAK,PT. INDOTRUCK UTAMA                                                             
137,CMK,PT. CIKARANG MULTI KREASI                                                       
138,AIRMN,PT. MERPATI NUSANTARA AIRLINES                                                  
139,BINPER,PT. BINTANGMANDIRI PERKASA                                                      
140,SANTOS,BUT SANTOS (SAMPANG) PTY. LTD                                                   
