1,GNMTJKTSTR,General Motor                           
2,INS0001,Asuransi Indrapura                      
3,INS0002,Asuransi Wahana Tata                    
4,INS0003,Asuransi Jasa Raharja Putera            
5,INS0004,Asuransi Mitra                          
6,INS0005,MAA Asuransi Umum                       
7,AUT2JKTCLD,"A 2000 Cilandak,PT                      "
8,CAMSBKSCKR,CAMS Indonesia                          
9,ELDIMOPJKT,"Eldimo Prima Jakarta,PT                 "
10,RDEGSUBDMK,"Rudi Darma Engineering,PT               "
11,PNGDPKUAYN,"Primanusa Globalindo,PT                 "
12,VNISPKUSDR,"Vinsa Indo Sejahtera SDR,PT             "
13,LAUTJKTPJG,"Lautan Berlian,PT                       "
14,PRPMBKSBLK,"Prabu Pura Motor (Bekasi),PT            "
15,WJMTBKSCKR,Wijaya Motor Jkt                        
16,BMSVPKUKRP,Bengawan Motor Service                  
17,GNMRKDSAYN,"Gunung Muria,Cv                         "
18,ADODJKTDMT,"Adhiprima Utama Mobilindo,PT            "
19,DELTAPKUDR,Delta                                   
20,SBMTSRGSLW,"Sidodari Berlian Motor,PT               "
21,FORDPKURLU,"Mayapada Auto Sempurna,PT               "
22,DUPSMESGTS,"Duta Putra Sumatra,PT                   "
23,BSTMBKS,"Siantar Men,PT                          "
24,BSMRJKTDMT,Sumber Makmur                           
25,BPBMBDOJND,Prabudi Muntur                          
26,CLOFJKTTBS,"Citra Langgeng Otomotif,PT              "
27,INS0006,"Asuransi AXA Indonesia,PT               "
28,UNNJTGRSRP,"Pro Union Indo Jaya,PT  SALAH           "
29,SNJYJKTKRT,Senen Jaya                              
30,FORDBPNRHY,United Mobil International BPN          
31,FORDDJBYNS,Ford Jambi                              
32,MRBMSUBDMK,Murni Berlian Motor                     
33,BSTYJKTKBJ,Century Ban                             
34,SUNMSRGMDK,"Sun Motor Semarang,PT                   "
35,ICABJKTSWB,Ica Bagus                               
36,BSRNPLMSDR,Serinanti                               
37,BKLMBPNSDR,"Kaltim Ban,PT                           "
38,SNRSBDOAYN,Sinar Sekawan                           
39,SUNMSOLKTS,"Sun Motor Kartasura,PT                  "
40,SUNMSRGPDR,Sum Motor Indosentra Trada              
41,NSTRBPNMTH,"Nusantara Indah Balikpapan,PT           "
42,UNMBDJBYNS,"Union Mobilindo,PT                      "
43,MTRLBPNSDR,"Mitra Lama,CV                           "
44,FORDSMDWHS,Nusantara Autoservice                   
45,AUT2SUBJSR,"A 2000 Jemur Sari,PT                    "
46,AUT2BPNMTH,"A 2000 Balikpapan MT.H,PT               "
47,TNSJJOGMGL,"Tunas Jaya,CV                           "
48,BRLMJKTSWB,"Berlian Motor,PD                        "
49,JZRHBDOSKH,"Jazirah Station,CV                      "
50,AUT2SUBBSR,"A 2000 Sby Basuki R,PT                  "
51,HNDAJKTDMT,"Istana Kemakmuran Motor,PT              "
52,ADOTTGRDMT,"Mitra Matra Mobilindo,PT                "
53,FORDPLGSTS,"Citra Abadi Indah Cmrl Plg, PT          "
54,TNSRJKTPCN,"Tunas Ridean Pecenongan,PT              "
55,USHBKRWPPJ,Usaha Baru                              
56,AUT2SUBJMB,"A 2000 Jember,PT                        "
57,AUT2SUBSKN,"A 2000 Sungkono,PT                      "
58,AUT2BDOPTR,"A 2000 Bandung Pasteur,PT               "
59,LEOTPKUKLM,Leo Otomotif                            
60,BCPMSUBADL,"Citra Pratama Murni Ban,PT              "
61,WRMPBDJAYN,"Wira Megah Profitamas Bjm,PT            "
62,ALVNSRGPMD,Alvin                                   
63,GLRMSRGSLR,Gloria Motor                            
64,BKRMBPNMTH,Kharisma Tambal Ban                     
65,STRCJKTDWS,"Sandjungan Trading Coy,CV               "
