1,S000059             ,MJBTBR30F3K210964   ,B8155FG,B -8155-FG ,CHV-TVR22B-MT  ,2003,Merah Metalik       ,C22NE25080635       ,2003-05-01,          
2,S000041             ,MJBTBR30F2K210861   ,B8133FG,B -8133-FG ,CHV-TVR22B-MT  ,2003,Abu-abu Metalik     ,C22NE25079134       ,2003-05-01,          
3,S000043             ,MJBTBR30F2K210804   ,B8134FG,B -8134-FG ,CHV-TVR22B-MT  ,2003,Silver Metalik      ,C22NE25076845       ,2003-05-01,          
4,S000044             ,MJBTBR30F3K210997   ,B8135FG,B -8135-FG ,CHV-TVR22B-MT  ,2003,Abu-abu Tua         ,C22NE25080626       ,2003-05-01,          
5,S000045             ,MJBTBR30F2K210862   ,B8137FG,B -8137-FG ,CHV-TVR22B-MT  ,2003,Abu-abu Metalik     ,C22NE25079128       ,2003-05-01,          
6,S000046             ,MJBTBR30F2K210809   ,B8140FG,B -8140-FG ,CHV-TVR22B-MT  ,2003,Silver Metalik      ,C22NE25076829       ,2003-05-01,          
7,S000047             ,MJBTBR30F2K210865   ,B8141FG,B -8141-FG ,CHV-TVR22B-MT  ,2003,Abu-abu Metalik     ,C22NE25079156       ,2003-05-01,          
8,S000048             ,MJBTBR30F2K210802   ,B8142FG,B -8142-FG ,CHV-TVR22B-MT  ,2003,Abu-abu Metalik     ,C22NE25076889       ,2003-05-01,          
9,S000049             ,MJBTBR30F3K210996   ,B8144FG,B -8144-FG ,CHV-TVR22B-MT  ,2003,Abu-abu Tua         ,C22NE25080625       ,2003-05-01,          
10,S000050             ,MJBTBR30F2K210582   ,B8145FG,B -8145-FG ,CHV-TVR22B-MT  ,2003,Abu-abu Tua Metalik ,C22NE25073697       ,2003-05-01,          
11,S000051             ,MJBTBR30F2K210945   ,B8146FG,B -8146-FG ,CHV-TVR22B-MT  ,2003,Abu-abu Tua Metalik ,C22NE25079162       ,2003-05-01,          
