nomor_job,nomor_invoice,tanggal_job,nomor_chassis,kode_sup,customer_code,harga_total,harga_pajak,posisi_km,tanggal_close,keterangan
250121004127,250122004245,2025-12-08,MHKB3BA1JPK096101,BSBSJKTPKT,TIKIJNEEKA,527027,57973,77889,2026-01-13,TIKIJNEEKA PAK MASRUR +62 812-1007-8233  | Ganti ban luar GT RADIAL 165 R13 Maxmiler 2 pcs   | - Posisi ban  serep & RR LH tipis  |   | - Posisi di Cikarang
250121004191,250122004163,2025-12-08,MHKS6GJ3JSJ052288,ADHSJKTCBN,CARIFABADI,371432,40857,11944,2026-01-07,"CARIFABADI ZAENAL 0813 1423 3195  Note : mohon dibuatkan estimasi jika ada penggantian part, tidak ada penambahan  additive , engine flush, brake cleaner , chemical."
250121004275,250122004246,2025-12-08,MHKB3BA1JRK096556,BSBSJKTPKT,TIKIJNEEKA,1054054,115946,32522,2026-01-13,TIKIJNEEKA DIKIN +62 813-8606-9716  | Ganti Ban luar GT RADIAL 165 R13 Maxmiler 2 pcs   | - Posisi ban  FR RH LH TIPIS  |   | - Posisi di bekasi
250121004313,250122004171,2025-12-08,MHKB3BA1JPK095155,ASPMBKSBCS,TIKIJNEEKA,688215,75704,46358,2026-01-09,"TIKIJNEEKA DIKIN +62 813-8606-9716 Last servis km 36 264 tgl 15.7.25 Mohon dibuatkan estimasi, tidak menggunakan chamber clean, additif, brake cleaner,engine flush, chemical  "
251321000213,251322000153,2025-12-08,MHFJB8EM8R1145842,AGAMTBNPLW,BANKPDBALI,296981,32668,16300,2025-12-29,BANKPDBALI BANKPDBALI SR 20.000 KM ( LAST SR KM 7.077 TGL 05/06/25 ) - CEK WIPER DEPAN SAPUAN KURANG BERSIH
250921000991,250922000856,2025-12-08,MHKV3BA3JLK057839,AMIMMGLSKH,INBISCO,434297,47773,206534,2025-12-29,INBISCO PAK DIDIDT  +62 812 7166 5858 Keluhan : Cek kaki kaki ( Bunyi )
251421000408,251422000328,2025-12-08,MHRRW1880MJ103132,HNDACLGLKS,KSTEELPODC,666705,73338,201165,2026-01-07,KSTEELPODC KSTEELPODC  | Pergantian oli mesin + oli filter  | ( Last servis 14/10/2025 km 193.324 )
250121004361,250122004170,2025-12-08,MHKB3BA1JPK092051,ASPMBKSBCS,TIKIJNEEKA,695422,76497,58108,2026-01-09,"TIKIJNEEKA DIKIN+62 813-8606-9716 Last servis km 45 914 tgl 13/6/25 Cek karet pintu belakang bocor Mohon dibuatkan estimasi, tidak menggunakan chamber clean, additif, brake cleaner,engine flush, chemical"
250921001002,250922000850,2025-12-08,MHKB3BA1JRK104626,ADHSSLOAST,AMARAMAPRI,674325,74176,30371,2025-12-29,AMARAMAPRI PAK GUNTUR  0895 704 300 601  | SR 30.000 KM  | ( LAST SR KM 19.749 TGL 23/09/25 )
250121004378,250122004172,2025-12-08,MHKB3BA1JRK101331,ASPMBKSBCS,TIKIJNEEKA,722073,79428,33111,2026-01-09,TIKIJNEEKA DIKIN +62 813-8606-9716  | Cek accu tidak kuat stater  |   | mohon dibuatkan estimasi 
250121004412,,2025-12-08,MHKAA1BY9NK018119,BJVTTGRCRR,BUMITARASA,,,90932,,"BUMITARASA BUMITARASA - Ganti ban 2 pc, GT 185/65/R15 Champ ecotec (ban tipis, gelombang) @ Rp.  658.000 inc ppn Kode ban : 4422, hc, belum pernah ganti"
255421000015,,2025-12-08,MHFAAAAA2P0015726,KMBSGRTAYN,ASRJASAHAR,,,40116,,"ASRJASAHAR ARYADIKA 0852 5640 0723  | CEK STEER GETAR DI KEC 100 KM/J  | SPOORING & BALANCE   | Note: kami tidak menggunakan bahan chemical seperti brake cleaner, engine flush dan sejenisnya.  | ( mohon dibuat estimasi sebelum dikerjakan )   | ( LAST SERVICE : 03/07/2025  30816 KM"
250121901379,250122901414,2025-12-08,MK2NCLHATPJ001712,*INTERNAL,INBISCO,689416,0,62106,2025-12-11,INBISCO    - Cek accu tidak kuat starter  |  (stooring Kelapa gading Jakarta) 
250121901380,250122901415,2025-12-08,MHKB3BA1JPK092698,*INTERNAL,TIKIJNEEKA,763749,0,64920,2025-12-11,"TIKIJNEEKA - Last service 25.09.2025 km 59601 ,next service 25.03.2026 km 69601  | - General check  | - Gt accu soak,tdk kuat starter  | - Gt kisi² ac LH (kisi² nya 3 pc tdk ada)  | - Lumasi run channel & sliding pintu  | - Ch karet wiper FR LH sapuan bergaris  | - Ch fuse, power outlet off  | - Ch tambal ban FR "
250121901381,250122901416,2025-12-08,MH1JM8123RK951280,*INTERNAL,,53000,0,3946,2025-12-11,Stock For Rent - Service berkala  | - Gt oli mesin  | - Ch accu  | - Ch brsihkan filter udara  | - Ch brsihkan rem  | - Ch lampu²  | - Ch tekanan ban all  |   | note: Adj Est Wh order oli mesin: 2 days
250121901385,250122901417,2025-12-08,MHKAA1AY3PK038211,*INTERNAL,MARGATRANS,1,0,52689,2025-12-11,MARGATRANS - General cek  | - Cek kondisi air accu  |  (stooring MTN Parigi) 
